# Morris, J.K., 2014. Mechanical properties of phospholipid coated microbubbles.
# Force (nN), Deformation (nm)
0.03572130825194719, 2.24159402241591
0.2675001638592107, 29.88792029887918
0.5648227043324354, 53.05105853051057
0.8290866487513888, 73.22540473225402
1.159181031657596, 94.14694894146945
1.4894802385790094, 118.80448318804483
2.0505341810316544, 152.4283935242839
2.2164825981516643, 179.32752179327522
2.6124483843481627, 201.7434620174346
3.1075080291013926, 231.6313823163138
3.5041292521465515, 266.0024906600248 
3.9654748639968496, 280.9464508094645
4.427107229468437, 301.12079701120797
4.790137314019791, 322.7895392278954
5.185898276201085, 341.46948941469486
5.977133446942382, 373.5990037359901
6.735228092023329, 401.24533001245334
7.492872124270821, 420.6724782067248
8.184849577243229, 442.3412204234121
9.008487907190139, 465.5043586550436
9.667324834502192, 482.6899128268991
10.589524480566295, 503.61145703611464
11.51188798584256, 527.5217932752179

