# Morris, J.K., 2014. Mechanical properties of phospholipid coated microbubbles.
# Force (nN), Deformation (nm)
0.2017641503416563, 17.104480744342226
0.9957346819941009, 51.48874618580163
1.5910274005016305, 73.91036865269035
2.582852722046532, 105.29471433891683
3.4423359045951436, 130.69897307273675
4.136761773862016, 155.3612763444599
4.765016573630746, 177.0335361399798
5.954984743206456, 210.6548590264046
6.649287158985459, 233.07277788865736
7.77296080557516, 261.45967288940835
8.500307604940609, 284.62448535327246
9.42575610117425, 309.27814688084476
10.186188435288768, 333.9379810828105
11.210934686932244, 363.82483596117794
12.004246799982717, 386.2390512187945
12.92998335435472, 416.12960970179796
14.185957988778078, 449.7484635184656
15.244036682146364, 485.6191089538757
16.004469016260884, 510.27894315584143
16.99612973315529, 538.6707762961073
17.65759352116096, 564.0824422391993
18.418108157600724, 590.2385327141453
