# Morris, J.K., 2014. Mechanical properties of phospholipid coated microbubbles.
# Force (nN), Deformation (nm)
0.0056718233679120544, 2.335311621483868 
0.10575073569302873, 12.052624656813578
0.27224752165978927, 25.508409094645458 
0.33956959902674555, 37.46609236030051
0.4397307116905296, 47.93060647409865 
0.5732240616831348, 61.385157906850594 
0.7722310815920572, 70.35896887895177 
0.9714025021783073, 80.82718200798985 
1.071481414503424, 90.54449504331956 
1.2705706347510137, 100.2655070938892 
1.370896148092129, 112.22442336462422
1.603482006345864, 126.42987489108452 
1.7364821543064721, 135.4012198530258 
1.869646702944415, 145.86696697190388 
2.0693113255626585, 160.81838657175263
2.1702944416130983, 178.75491147023524 
2.5348940437634617, 192.96529501701542
2.7672333010011982, 204.92914330807042 
2.8674766140036496, 216.14085850033706 
3.09989807158005, 228.85190786986038
3.2329804198793255, 238.5704539102701
3.4324806418202414, 252.0274713531819
3.5659739918128466, 265.48202278593385
3.8977345586663823, 281.18557548457096
4.229412925181254, 296.1419271047397
4.594094727670278, 311.0995117299883
4.826598385585349, 324.5577621779801
5.1249445147714034, 336.52407647919506
5.32436253637365, 349.2338928436384
5.622626465221039, 360.453006066385
5.953976030381245, 372.4205533726798
6.185904285925657, 380.6483962713926
6.616346359347002, 393.36684367139594
6.94769592450721, 405.33439097769076
7.444227070215529, 418.8025054663225
7.808497871011227, 430.024084699229 
8.073511762868463, 439.00036168149006
8.371857892054518, 450.96667598270494
8.768721127131046, 458.45348282834925
9.132909727588078, 468.92786098278725
9.530019563680604, 478.6562710638367
9.894043763460308, 487.6362470613377
10.291071399214166, 496.617456063919
10.655013398655205, 504.85023098295153
10.98619856313808, 515.3233761323096
11.581822217107536, 529.5423907146496
