9.713819480214092135e+07 5.423930350837882725e+04 4.679371261205267274e+02 2.680269748953551634e+00 3.164380531522122730e+00 -2.104579448781799478e+00 3.897493197252896113e+00 6.000000000000000000e+00 0.000000000000000000e+00 1.199999999999999956e-01 2.399999999999999911e-01 3.599999999999999867e-01 4.799999999999999822e-01 5.999999999999999778e-01 7.199999999999999734e-01 8.399999999999999689e-01 9.599999999999999645e-01 1.080000000000000071e+00 1.199999999999999956e+00 1.319999999999999840e+00 1.439999999999999947e+00 1.560000000000000053e+00 1.679999999999999938e+00 1.330237415400000032e+02 6.238506370599999400e+02 1.293323244819999900e+03 1.991392087220000121e+03 2.725443741539999792e+03 3.648306726459999936e+03 4.538958359659999587e+03 5.461060322780000206e+03 6.441109700740000335e+03 0.000000000000000000e+00 5.508298479999999664e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.447798073101402819e+07 2.483528442363152135e+04 3.479335202218895233e+02 2.152468891053036515e+00 3.280385591356714148e+00 -1.162119608714563324e+00 1.603074633345243472e+00 6.000000000000000000e+00 0.000000000000000000e+00 1.199999999999999956e-01 2.399999999999999911e-01 3.599999999999999867e-01 4.799999999999999822e-01 5.999999999999999778e-01 7.199999999999999734e-01 8.399999999999999689e-01 9.599999999999999645e-01 1.080000000000000071e+00 1.199999999999999956e+00 1.319999999999999840e+00 1.439999999999999947e+00 1.560000000000000053e+00 1.679999999999999938e+00 9.522467842000000360e+01 3.364435483599999657e+02 7.250695470599999908e+02 1.105309522920000063e+03 1.513072953559999860e+03 1.930967174619999923e+03 2.445834439119999843e+03 2.936046735400000671e+03 3.530202010380000502e+03 4.016026944879999519e+03 4.506571985859999586e+03 2.870068600000000303e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.938451221162572503e+07 2.199123131459241631e+04 4.994969896231283428e+02 1.755157166163112459e+00 1.336924771631802511e-01 -2.199609928186960772e-01 1.799035335370371413e+00 6.000000000000000000e+00 0.000000000000000000e+00 1.199999999999999956e-01 2.399999999999999911e-01 3.599999999999999867e-01 4.799999999999999822e-01 5.999999999999999778e-01 7.199999999999999734e-01 8.399999999999999689e-01 9.599999999999999645e-01 1.080000000000000071e+00 1.199999999999999956e+00 1.319999999999999840e+00 1.439999999999999947e+00 1.560000000000000053e+00 1.679999999999999938e+00 6.635491217999999947e+01 3.603351638999998841e+02 7.675882528400001092e+02 1.186483847759999890e+03 1.622314347259999749e+03 2.091161852119999821e+03 2.572587324239999816e+03 3.112380483739999363e+03 3.671206573160000062e+03 4.216353366559999813e+03 4.740970199780000257e+03 5.308371495260000302e+03 2.368195000000000161e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.944531968293485790e+07 1.644145883539462739e+04 6.114004940148299738e+02 9.687518649041357843e-01 3.554704772215846464e+00 -1.028163013634742828e+00 1.971056612439313849e+00 6.000000000000000000e+00 0.000000000000000000e+00 1.199999999999999956e-01 2.399999999999999911e-01 3.599999999999999867e-01 4.799999999999999822e-01 5.999999999999999778e-01 7.199999999999999734e-01 8.399999999999999689e-01 9.599999999999999645e-01 1.080000000000000071e+00 1.199999999999999956e+00 1.319999999999999840e+00 1.439999999999999947e+00 1.560000000000000053e+00 1.679999999999999938e+00 9.387679991999999629e+01 3.265195222000000399e+02 7.201146973800000524e+02 1.164843957300000056e+03 1.573048179559999880e+03 1.928248762759999863e+03 2.325428749300000163e+03 2.812956053180000254e+03 3.305383233340000061e+03 3.738467125919999489e+03 4.275574018260000230e+03 4.801311094159999811e+03 5.340285080220000054e+03 5.816814459559999705e+03 6.429332167700000355e+03
5.844142005335177481e+07 3.263208592861909710e+04 6.560753017579643256e+02 1.589797009817607520e+00 9.628356142428224018e+00 1.138114717983845114e+00 2.942235781336952183e+00 6.000000000000000000e+00 0.000000000000000000e+00 1.199999999999999956e-01 2.399999999999999911e-01 3.599999999999999867e-01 4.799999999999999822e-01 5.999999999999999778e-01 7.199999999999999734e-01 8.399999999999999689e-01 9.599999999999999645e-01 1.080000000000000071e+00 1.199999999999999956e+00 1.319999999999999840e+00 1.439999999999999947e+00 1.560000000000000053e+00 1.679999999999999938e+00 5.179331455999999179e+01 4.885591547600000126e+02 1.069187149500000032e+03 1.713605505239999957e+03 2.278905774439999732e+03 2.947019474539999919e+03 3.636164332099999228e+03 4.374241095600000335e+03 5.181173149160000321e+03 5.883690325360000315e+03 6.850504406679999192e+03 7.802564217959999951e+03 8.438448296200000186e+03 9.487279553039999882e+03 1.044865553675999945e+04
3.584303329799588025e+07 2.001376663083797393e+04 8.574062110798161029e+02 2.073217637129269875e+00 1.286098938441418760e+00 -2.148942047946766909e+00 8.449149741577378636e-01 6.000000000000000000e+00 0.000000000000000000e+00 1.199999999999999956e-01 2.399999999999999911e-01 3.599999999999999867e-01 4.799999999999999822e-01 5.999999999999999778e-01 7.199999999999999734e-01 8.399999999999999689e-01 9.599999999999999645e-01 1.080000000000000071e+00 1.199999999999999956e+00 1.319999999999999840e+00 1.439999999999999947e+00 1.560000000000000053e+00 1.679999999999999938e+00 9.126628438000001609e+01 4.752691303799999787e+02 9.638794857999999977e+02 1.496405587239999932e+03 2.012058251959999552e+03 2.511052875179999774e+03 3.056716168859999925e+03 3.616343163180000374e+03 4.211624226300000373e+03 4.838369245619999674e+03 5.457034383440000056e+03 6.132969765859999825e+03 6.879748683960001472e+03 7.519296256579999863e+03 8.185125147559999277e+03
7.614509227685377002e+07 4.251733089224298601e+04 1.926654091804341533e+02 1.552943229476620446e-01 8.907380669547959942e-03 3.609956410762138468e-01 2.066543141764860980e+00 6.000000000000000000e+00 0.000000000000000000e+00 1.199999999999999956e-01 2.399999999999999911e-01 3.599999999999999867e-01 4.799999999999999822e-01 5.999999999999999778e-01 7.199999999999999734e-01 8.399999999999999689e-01 9.599999999999999645e-01 1.080000000000000071e+00 1.199999999999999956e+00 1.319999999999999840e+00 1.439999999999999947e+00 1.560000000000000053e+00 1.679999999999999938e+00 7.065099818000000198e+01 3.548338954400000489e+02 7.844606755600001406e+02 1.242769724479999923e+03 1.736907883900000343e+03 2.303998144679999768e+03 2.920370195879999756e+03 3.324322524380000687e+03 3.710793795539999792e+03 4.087416289899999811e+03 4.227299713759999577e+03 4.572972203880000052e+03 4.407621352480000496e+03 4.843053474780000215e+03 4.945756721379999362e+03
1.448018055765934289e+07 8.085335636746887758e+03 5.716925176804063540e+02 1.027781733588796209e+00 6.882329869482743057e+00 -1.320390898190413997e+00 9.303092798691533494e-01 6.000000000000000000e+00 0.000000000000000000e+00 1.199999999999999956e-01 2.399999999999999911e-01 3.599999999999999867e-01 4.799999999999999822e-01 5.999999999999999778e-01 7.199999999999999734e-01 8.399999999999999689e-01 9.599999999999999645e-01 1.080000000000000071e+00 1.199999999999999956e+00 1.319999999999999840e+00 1.439999999999999947e+00 1.560000000000000053e+00 1.679999999999999938e+00 6.115830757999999179e+01 2.063464858399999855e+02 4.362995376800000145e+02 7.092830915199998572e+02 9.607740733799998907e+02 1.229861790740000060e+03 1.515055852600000208e+03 1.762154270719999886e+03 2.059406291020000481e+03 2.331973993519999567e+03 2.612409351379999862e+03 2.946423845760000404e+03 3.252893566820000615e+03 3.639256731319999744e+03 3.984565459120000469e+03
7.401394791194641590e+07 4.132735833547653601e+04 9.020123111369930484e+02 2.060293106140459241e+00 9.618395195517431162e+00 4.276701497527035656e-02 1.909364248634994432e+00 6.000000000000000000e+00 0.000000000000000000e+00 1.199999999999999956e-01 2.399999999999999911e-01 3.599999999999999867e-01 4.799999999999999822e-01 5.999999999999999778e-01 7.199999999999999734e-01 8.399999999999999689e-01 9.599999999999999645e-01 1.080000000000000071e+00 1.199999999999999956e+00 1.319999999999999840e+00 1.439999999999999947e+00 1.560000000000000053e+00 1.679999999999999938e+00 1.098736105400000156e+02 6.512325756999999840e+02 1.364441841539999814e+03 2.243626032200000282e+03 3.073815696440000465e+03 3.897210896559999583e+03 4.761343059379999431e+03 5.799529730280000877e+03 6.880890165079999861e+03 7.909249992220000422e+03 8.897712582019999900e+03 9.972725366720000238e+03 1.110347991264000120e+04 1.215924753975999920e+04 1.335423289601999750e+04
7.150026391768826544e+07 3.992378614261838811e+04 3.115280695505025506e+02 2.745592809654612054e+00 3.877761166300959683e+00 -1.730342485902238714e-01 3.122350261082429412e+00 6.000000000000000000e+00 0.000000000000000000e+00 1.199999999999999956e-01 2.399999999999999911e-01 3.599999999999999867e-01 4.799999999999999822e-01 5.999999999999999778e-01 7.199999999999999734e-01 8.399999999999999689e-01 9.599999999999999645e-01 1.080000000000000071e+00 1.199999999999999956e+00 1.319999999999999840e+00 1.439999999999999947e+00 1.560000000000000053e+00 1.679999999999999938e+00 6.834158372000000270e+01 4.426959610399999860e+02 9.236634887800000797e+02 1.401374250760000450e+03 1.928084750099999837e+03 2.493074177460000101e+03 3.226965964720000102e+03 3.973235504720000336e+03 4.650723144999999931e+03 5.267569233939999322e+03 6.092511295559999780e+03 6.456781204859999889e+03 6.362467319659999703e+03 6.631078329860000849e+03 6.688374294420000297e+03
