# Force [nN]  Displacement [nm]
1.328650348079946752e+00 6.983606557377049739e+01
2.044608129350999448e+00 8.655737704918030317e+01
2.726395688300021547e+00 1.062295081967213548e+02
3.344585672580283386e+00 1.209836065573770441e+02
4.158311250842128715e+00 1.396721311475410232e+02
4.904989894453178678e+00 1.613114754098360493e+02
5.588933303390971830e+00 1.760655737704917954e+02
6.270720862339995705e+00 1.957377049180327901e+02
6.921356388951269700e+00 2.114754098360655519e+02
7.604868627891310240e+00 2.272131147540983704e+02
8.222196272176061527e+00 2.439344262295082046e+02
8.806216034134290993e+00 2.616393442622950261e+02
9.587927240062878553e+00 2.783606557377048603e+02
1.020568605434538512e+01 2.940983606557377925e+02
