# Displacement [DPD units]  Force [DPD units]
2.793442622950820242e-01 5.935055279362311467e+02
3.462295081967212695e-01 9.133224771940961091e+02
4.249180327868854468e-01 1.217875654558744372e+03
4.839344262295082189e-01 1.494019918936019167e+03
5.586885245901641595e-01 1.857509553074474979e+03
6.452459016393442548e-01 2.191049451826241693e+03
7.042622950819672489e-01 2.496565643190461742e+03
7.829508196721312041e-01 2.801118820555110688e+03
8.459016393442623238e-01 3.091756445625944252e+03
9.088524590163935546e-01 3.397080034190250899e+03
9.757377049180330220e-01 3.672839092967695706e+03
1.046557377049180282e+00 3.933719585451753574e+03
1.113442622950819638e+00 4.282908461696565610e+03
1.176393442622951202e+00 4.558860123273924728e+03
