# Compression data for EMB diameter 2.1 um
# Force (nN), Deformation (nm)
F_A, Delta_A
0.0445269016697587,2.7007919707730537
0.2226345083487935,20.552009349995473
0.37847866419294895,37.08041486518513
0.6456400742115029,50.97177837895265
1.0463821892393312,66.19208356149826
1.291280148423004,86.69015062973526
1.5361781076066787,105.2058388433467
2.070500927643785,127.70222225854704
2.3153988868274578,146.21791047215842
2.8051948051948052,162.1039124500421
2.916512059369202,175.98669423716623
3.250463821892394,187.23856382761355
3.5844155844155843,208.40232769118862
3.7847866419294984,224.93318512827634
4.14100185528757,239.49024543738196
4.430426716141001,255.36521376672417
4.742115027829314,265.2942714931387
5.076066790352504,284.4756565020882
5.476808905380334,303.66071939388496
5.922077922077921,322.8482342075798
6.345083487940631,342.69531601186725
6.812615955473099,351.3113695618416
7.079777365491651,361.8987683178999
7.235621521335807,372.48003726921286
7.6141001855287564,381.0911869753909
7.903525046382189,396.966155304733
8.415584415584416,408.22783258277286
