# Displacement [DPD units]  Force [DPD units]
2.038871135158106251e-01 2.884061661937173540e+02
2.647683342459931088e-01 4.674168900380930722e+02
3.467606025189410857e-01 5.768123323874337984e+02
4.208233553733868315e-01 6.862077747367753773e+02
5.108088890341881960e-01 9.248887398626106915e+02
5.848716418886337198e-01 1.034284182211951247e+03
6.484156498001684144e-01 1.253075066910633495e+03
7.039467769486649207e-01 1.302800267978516104e+03
7.489542553104542311e-01 1.451975871182163246e+03
8.336093107647545297e-01 1.601151474385809706e+03
8.997327405131053668e-01 1.690656836307997310e+03
9.579609817495278179e-01 1.849777479725221383e+03
1.021460855066896878e+00 1.979063002501714664e+03
1.061177085972554890e+00 2.118293565491785557e+03
1.137902626008352902e+00 2.267469168695432472e+03
1.214642877575539792e+00 2.446479892539808588e+03
1.291392936830319416e+00 2.645380696811337657e+03
1.370781264047469250e+00 2.834336460869290477e+03
1.405245478247366675e+00 3.043182305354396249e+03
1.447595073271599864e+00 3.162522787917313053e+03
1.489920149076851663e+00 3.232138069412348614e+03
1.524364747901563621e+00 3.401203753043148026e+03
1.587864621218932015e+00 3.530489275819642444e+03
1.632911330331091593e+00 3.759225200731900713e+03
