# Compression data for EMB diameter 2.9 um
# Force (nN), Deformation (nm)
F_A, Delta_A
0.2038356164383579,10.819672131147541
0.49239613743543664,27.540983606557376
0.8121086907702679,48.196721311475414
1.3286503480799468,69.8360655737705
2.0446081293509994,86.5573770491803
2.7263956883000215,106.22950819672135
3.3445856725802834,120.98360655737704
4.158311250842129,139.67213114754102
4.904989894453179,161.31147540983605
5.588933303390972,176.0655737704918
6.270720862339996,195.7377049180328
6.92135638895127,211.47540983606555
7.60486862789131,227.21311475409837
8.222196272176062,243.9344262295082
8.806216034134291,261.639344262295
9.587927240062879,278.36065573770486
10.205686054345385,294.0983606557378
