# Compression data for EMB diameter 3.0 um
# Force (nN), Deformation (nm)
F_A, Delta_A
0.0445269016697587,2.7007919707730537
0.5565862708719855,29.160707134275384
0.8014842300556584,51.64115305713793
1.1354359925788486,81.39522529075705
1.49165120593692,103.22100806682309
2.0927643784786625,131.66820592874714
2.738404452690167,154.1707191486927
3.050092764378478,168.72532753590022
3.5176252319109444,187.91406831054408
4.14100185528757,211.07614852108244
4.697588126159554,231.59137904260623
5.098330241187384,252.09802783748657
5.543599257884972,269.30316379655585
5.988868274582559,285.1867138525415
6.211502782931355,296.4324536382435
6.74582560296846,312.32090753802527
6.879406307977737,320.2577787222218
7.257884972170687,332.17289318610915
7.903525046382189,354.67540640605455
8.348794063079778,377.1668859774586
8.883116883116884,393.7161328287824
9.306122448979593,401.6689415053165
9.350649350649352,414.22645950650985
9.996289424860855,425.4954925502441
10.352504638218925,442.695724665517
