# Force [nN]  Displacement [nm]
1.135435992578848641e+00 8.139522529075705393e+01
1.491651205936920022e+00 1.032210080668230887e+02
2.092764378478662479e+00 1.316682059287471418e+02
2.738404452690167190e+00 1.541707191486927115e+02
3.050092764378478094e+00 1.687253275359002203e+02
3.517625231910944450e+00 1.879140683105440814e+02
4.141001855287569811e+00 2.110761485210824446e+02
4.697588126159553568e+00 2.315913790426062349e+02
5.098330241187383649e+00 2.520980278374865691e+02
5.543599257884972431e+00 2.693031637965558502e+02
5.988868274582559437e+00 2.851867138525415157e+02
6.211502782931354716e+00 2.964324536382434871e+02
6.745825602968460011e+00 3.123209075380252671e+02
6.879406307977737001e+00 3.202577787222218149e+02
7.257884972170686844e+00 3.321728931861091496e+02
7.903525046382188890e+00 3.546754064060545488e+02
8.348794063079777672e+00 3.771668859774586053e+02
8.883116883116883855e+00 3.937161328287824062e+02
9.306122448979593287e+00 4.016689415053165249e+02
9.350649350649351987e+00 4.142264595065098547e+02
9.996289424860854922e+00 4.254954925502440801e+02
1.035250463821892453e+01 4.426957246655169911e+02
