# Morris, J.K., 2014. Mechanical properties of phospholipid coated microbubbles.
# Force (nN), Deformation (nm)
0.05226480836237002, 3.1624638280281374 
0.20905923344947652, 16.188507647788327 
0.5749128919860667, 26.808598594460534
0.9930313588850197, 38.60686233980982
1.2020905923344962, 50.438197602315
1.6202090592334528, 61.05002066969823
2.038327526132406, 68.10252170318313 
2.4041811846689924, 73.97684993799092  
2.8745644599303155, 83.39396444811902 
3.240418118466902, 91.64117403885902
3.554006968641115, 97.52377015295573
4.076655052264808, 109.30549813972712
4.547038327526135, 117.53617197188922
5.017421602787458, 125.76684580405126
5.435540069686413, 136.37866887143448 
5.8536585365853675, 148.17693261678377
6.428571428571432, 157.57751136833403
6.9512195121951255, 168.1727986771393
7.526132404181185, 178.75981810665567
8.10104529616725, 186.9739561802397
8.571428571428573, 199.9503927242662 
9.041811846689898, 210.55394791236043 
9.668989547038331, 223.50558081851997 
10.296167247386762, 238.8300950806118 
10.818815331010455, 251.79826374534932
11.393728222996518, 262.38528317486566 
12.07317073170732, 277.70152955766844
12.386759581881536, 289.5163290615957
12.90940766550523, 298.9251756924349
13.327526132404184, 304.7912360479537
13.745644599303137, 314.2166184373708 
14.111498257839724, 323.6502687060769
