# Force [DPD units]  Displacement [DPD units]
2.560580741552092832e+02 2.455406316274024170e-01
3.449541231305820475e+02 2.814358755158071212e-01
4.339236095689649346e+02 3.233087280319594248e-01
4.786286651771903848e+02 3.621779801732782356e-01
5.675614328840698590e+02 4.010620283755568227e-01
6.123766446868135063e+02 4.488976934584968936e-01
7.162722954822764905e+02 5.057194995643381485e-01
7.756832030585471784e+02 5.416048794121032239e-01
8.351675480978310588e+02 5.834678678876156210e-01
9.243573469252488621e+02 6.432735462870106113e-01
9.694663085800390263e+02 7.150196458809410238e-01
1.132332242173706163e+03 7.718611800680617030e-01
1.236117736774650666e+03 8.197165732322818643e-01
1.280896229845889593e+03 8.645634340013483854e-01
1.384718443178339157e+03 9.154076314794415969e-01
1.444166069486116612e+03 9.542818156410803887e-01
1.533282430850524179e+03 1.008109885412727724e+00
1.592913650815831261e+03 1.061928091143735431e+00
1.741110451172958165e+03 1.124742301938283839e+00
1.889270532798580007e+03 1.184567708418958976e+00
