bubble_id,agent,diameter_um,radius_dpd,ka_dpd,kb_dpd,mass_scale
d1,Definity,2.1,4.2,8970.597979660924,144.45604480771522,160.0
d2,Definity,2.9,5.8,17786.146273070626,926.8865100705788,160.0
d3,Definity,3.0,6.0,16594.370065442894,241.62315862183885,160.0
d4,SonoVue,3.2,6.38,10657.481469119277,18326.84240776452,160.0
d5,SonoVue,3.4,6.8,9915.943150523179,2037.0945717479,160.0
d6,SonoVue,5.8,11.6,11268.392221469645,26823.129578204775,160.0
